state,city,Sum of profit
Alabama,Auburn,452.61
Alabama,Decatur,1000.09
Alabama,Florence,248.66
Alabama,Hoover,18.72
Alabama,Huntsville,1005.26
Alabama,Mobile,2175.84
Alabama,Montgomery,834.66
Alabama,Tuscaloosa,51.01
Arizona,Avondale,76.17
Arizona,Bullhead City,6.72
Arizona,Chandler,81.46
Arizona,Gilbert,138.25
Arizona,Glendale,182.88
Arizona,Mesa,-559.24
Arizona,Peoria,-55.11
Arizona,Phoenix,-2790.85
Arizona,Scottsdale,-89.49
Arizona,Sierra Vista,16.82
Arizona,Tempe,95.47
Arizona,Tucson,-64.96
Arizona,Yuma,-465.99
Arkansas,Conway,45.29
Arkansas,Fayetteville,1691.94
Arkansas,Hot Springs,62.08
Arkansas,Jonesboro,801.11
Arkansas,Little Rock,1154.65
Arkansas,Pine Bluff,70.2
Arkansas,Rogers,18.59
Arkansas,Springdale,1.42
Arkansas,Texarkana,163.37
California,Anaheim,1233.98
California,Antioch,9.33
California,Apple Valley,283.62
California,Bakersfield,187.93
California,Brentwood,1216.83
California,Burbank,764.53
California,Camarillo,158.79
California,Chico,205.12
California,Chula Vista,248.43
California,Citrus Heights,54.34
California,Coachella,47.18
California,Concord,282.43
California,Costa Mesa,297.21
California,Danville,282.44
California,Davis,15.55
California,Dublin,1.38
California,El Cajon,52.69
California,Encinitas,71.06
California,Escondido,27.75
California,Fairfield,117.98
California,Fresno,948.26
California,Hesperia,98.53
California,Huntington Beach,880.04
California,Inglewood,1026.72
California,La Mesa,114.39
California,La Quinta,18.06
California,Laguna Niguel,41.99
California,Lake Elsinore,17.75
California,Lake Forest,327.53
California,Lakewood,43.96
California,Lancaster,79.44
California,Lodi,44.49
California,Long Beach,746.38
California,Los Angeles,30440.94
California,Manteca,172.23
California,Mission Viejo,151.06
California,Modesto,19.95
California,Montebello,3.9
California,Moreno Valley,353.63
California,Morgan Hill,7.85
California,Murrieta,92.08
California,Oakland,834.1
California,Oceanside,117.51
California,Ontario,-46.14
California,Oxnard,346.46
California,Pasadena,429.97
California,Pico Rivera,62.74
California,Pomona,150.29
California,Rancho Cucamonga,73.74
California,Redding,25.02
California,Redlands,454.16
California,Redondo Beach,176.43
California,Redwood City,14.14
California,Riverside,374.72
California,Roseville,316.95
California,Sacramento,2069.69
California,Salinas,270.51
California,San Bernardino,69.97
California,San Clemente,42.55
California,San Diego,6377.24
California,San Francisco,17507.39
California,San Gabriel,290.89
California,San Jose,1216.06
California,San Luis Obispo,1.19
California,San Mateo,35.33
California,Santa Ana,836.75
California,Santa Barbara,457.27
California,Santa Clara,75.99
California,Santa Maria,30.01
California,Stockton,339.52
California,Sunnyvale,107.51
California,Temecula,101.89
California,Thousand Oaks,99.93
California,Torrance,545.16
California,Vacaville,110.05
California,Vallejo,336.03
California,Visalia,88.05
California,Westminster,763.7
California,Whittier,44.48
California,Woodland,33.39
California,Yucaipa,13.21
Colorado,Arvada,59.85
Colorado,Aurora,-797.04
Colorado,Broomfield,62.43
Colorado,Colorado Springs,-956.68
Colorado,Commerce City,-32.93
Colorado,Denver,-244.91
Colorado,Englewood,13.75
Colorado,Fort Collins,-252.69
Colorado,Greeley,10.36
Colorado,Littleton,-98.8
Colorado,Longmont,34.82
Colorado,Louisville,-3406.18
Colorado,Loveland,4.48
Colorado,Parker,-164.18
Colorado,Pueblo,-900.98
Colorado,Thornton,140.84
Connecticut,Bristol,208.14
Connecticut,Danbury,9.89
Connecticut,Fairfield,1221.62
Connecticut,Manchester,600.5
Connecticut,Meriden,470.21
Connecticut,Middletown,157.61
Connecticut,Milford,319.05
Connecticut,Norwich,164.09
Connecticut,Shelton,21.4
Connecticut,Waterbury,338.93
Delaware,Dover,116.12
Delaware,Newark,8086.18
Delaware,Wilmington,1775.07
District of Columbia,Washington,1059.59
Florida,Apopka,54.38
Florida,Boca Raton,-22.64
Florida,Boynton Beach,50.65
Florida,Coral Gables,22.36
Florida,Coral Springs,18.55
Florida,Daytona Beach,-52.33
Florida,Delray Beach,29.05
Florida,Deltona,122.13
Florida,Fort Lauderdale,-161.35
Florida,Hialeah,-179.22
Florida,Hollywood,108.2
Florida,Homestead,22.33
Florida,Jacksonville,-2445.63
Florida,Jupiter,0.15
Florida,Kissimmee,84.6
Florida,Lakeland,-188.65
Florida,Margate,2.33
Florida,Melbourne,9.56
Florida,Miami,-1150.35
Florida,Miramar,32.29
Florida,North Miami,3.08
Florida,Orlando,377.73
Florida,Ormond Beach,-1.97
Florida,Palm Coast,17.65
Florida,Pembroke Pines,-72.43
Florida,Pensacola,-1.48
Florida,Plantation,12.03
Florida,Pompano Beach,15.01
Florida,Port Orange,2.93
Florida,Port Saint Lucie,4.45
Florida,Saint Petersburg,152
Florida,Sanford,-11.83
Florida,Tallahassee,392.71
Florida,Tamarac,-351.89
Florida,Tampa,-325.26
Florida,West Palm Beach,31.61
Georgia,Athens,479.33
Georgia,Atlanta,6993.69
Georgia,Columbus,4104.12
Georgia,East Point,102.01
Georgia,Macon,144.86
Georgia,Marietta,512.14
Georgia,Roswell,2427.44
Georgia,Sandy Springs,520.58
Georgia,Smyrna,807.34
Georgia,Warner Robins,53.69
Georgia,Woodstock,104.88
Idaho,Boise,221.95
Idaho,Caldwell,58.7
Idaho,Lewiston,3.35
Idaho,Meridian,95.21
Idaho,Pocatello,181.35
Idaho,Twin Falls,266.17
Illinois,Arlington Heights,1.23
Illinois,Aurora,-1894.72
Illinois,Bloomington,-432.12
Illinois,Bolingbrook,-4.66
Illinois,Buffalo Grove,-89.65
Illinois,Carol Stream,-39.87
Illinois,Champaign,-182.35
Illinois,Chicago,-6654.55
Illinois,Danville,-69.4
Illinois,Decatur,-311.04
Illinois,Des Plaines,-236.77
Illinois,Elmhurst,-212.13
Illinois,Evanston,411.89
Illinois,Frankfort,-26.06
Illinois,Freeport,-127.45
Illinois,Glenview,13.86
Illinois,Highland Park,-169.93
Illinois,Naperville,-146.53
Illinois,Normal,-110.02
Illinois,Oak Park,1.02
Illinois,Orland Park,67.99
Illinois,Oswego,-536.13
Illinois,Palatine,23.26
Illinois,Park Ridge,-238.45
Illinois,Peoria,-72.77
Illinois,Quincy,49.1
Illinois,Rockford,-1149.52
Illinois,Romeoville,-14.77
Illinois,Saint Charles,216.65
Illinois,Skokie,-346.87
Illinois,Tinley Park,-8.92
Illinois,Wheeling,-293.32
Illinois,Woodstock,-24.89
Indiana,Bloomington,182.77
Indiana,Columbus,2522.5
Indiana,Elkhart,16.67
Indiana,Greenwood,471.74
Indiana,Indianapolis,2741.67
Indiana,La Porte,224.51
Indiana,Lafayette,8976.1
Indiana,Lawrence,532.75
Indiana,Mishawaka,96.59
Indiana,New Albany,73.35
Indiana,New Castle,23.09
Indiana,Noblesville,353.31
Indiana,Portage,6.51
Indiana,Richmond,1881.85
Indiana,South Bend,279.56
Iowa,Burlington,26.67
Iowa,Cedar Rapids,80.74
Iowa,Des Moines,360.4
Iowa,Dubuque,477.68
Iowa,Iowa City,4.5
Iowa,Marion,164.28
Iowa,Urbandale,57.72
Iowa,Waterloo,11.82
Kansas,Garden City,90.62
Kansas,Manhattan,10.96
Kansas,Olathe,207.42
Kansas,Overland Park,203.53
Kansas,Wichita,323.92
Kentucky,Bowling Green,67.12
Kentucky,Florence,1837.34
Kentucky,Georgetown,402.75
Kentucky,Henderson,4518.83
Kentucky,Louisville,1975.89
Kentucky,Murray,94.47
Kentucky,Owensboro,27.64
Kentucky,Richmond,2275.66
Louisiana,Bossier City,336.96
Louisiana,Kenner,19.8
Louisiana,Lafayette,1042.28
Louisiana,Lake Charles,241.25
Louisiana,Monroe,555.8
Maine,Bangor,422.23
Maine,Lewiston,32.27
Maryland,Baltimore,1676.21
Maryland,Clinton,1274.27
Maryland,Columbia,3775.2
Maryland,Gaithersburg,105.54
Maryland,Hagerstown,20.59
Maryland,Laurel,46.18
Maryland,Rockville,133.21
