Month,Sum of profit,Year
January,2450.18,2015
January,-3280.97,2016
January,2372.38,2017
January,6944.14,2018
February,862.3,2015
February,2813.84,2016
February,5004.59,2017
February,1613.89,2018
March,498.72,2015
March,9732.07,2016
March,3611.98,2017
March,14751.87,2018
April,3488.86,2015
April,4187.53,2016
April,2641.24,2017
April,933.3,2018
May,2738.74,2015
May,4667.83,2016
May,8662.09,2017
May,6342.7,2018
June,4976.56,2015
June,3335.56,2016
June,4750.33,2017
June,8223.42,2018
July,-841.46,2015
July,3288.71,2016
July,4432.9,2017
July,6952.6,2018
August,5318.11,2015
August,5355.82,2016
August,2062.05,2017
August,9041.09,2018
September,8328.08,2015
September,8209.17,2016
September,9328.68,2017
September,10991.57,2018
October,3448.23,2015
October,2817.37,2016
October,16243.22,2017
October,9275.38,2018
November,9292.15,2015
November,11282.87,2016
November,4011.45,2017
November,9690.1,2018
December,8983.59,2015
December,8016.96,2016
December,17885.28,2017
December,8415.74,2018
