Month,Sum of sales,Year
January,14236.9,2015
January,18174.08,2016
January,16870.21,2017
January,43334.19,2018
February,4519.92,2015
February,11951.4,2016
February,22978.82,2017
February,20301.12,2018
March,55691.04,2015
March,38726.26,2016
March,51715.86,2017
March,58872.35,2018
April,28295.35,2015
April,34195.25,2016
April,37455.29,2017
April,36521.52,2018
May,23648.28,2015
May,30131.72,2016
May,56987.75,2017
May,44261.08,2018
June,34595.14,2015
June,24797.31,2016
June,40344.54,2017
June,52981.73,2018
July,33946.37,2015
July,28765.32,2016
July,39261.99,2017
July,45264.43,2018
August,27909.47,2015
August,36898.32,2016
August,31115.35,2017
August,63120.85,2018
September,81777.34,2015
September,64595.87,2016
September,73410.09,2017
September,87866.66,2018
October,31453.37,2015
October,31404.9,2016
October,59687.8,2017
October,77776.96,2018
November,78628.74,2015
November,70852.41,2016
November,79412.03,2017
November,118447.81,2018
December,69545.64,2015
December,74919.52,2016
December,96999.07,2017
December,83624.28,2018
