region,state,city,Sum of sales
East,New York,New York City,256368.12
West,California,Los Angeles,175851.33
West,Washington,Seattle,119540.74
West,California,San Francisco,112669.09
East,Pennsylvania,Philadelphia,109077.09
Central,Texas,Houston,64504.71
Central,Illinois,Chicago,48539.59
West,California,San Diego,47521.05
Central,Michigan,Detroit,42446.94
South,Florida,Jacksonville,39133.36
Central,Texas,San Antonio,21843.54
East,Delaware,Newark,20448.05
Central,Texas,Dallas,20131.9
Central,Indiana,Lafayette,19630.45
South,Georgia,Atlanta,17197.84
Central,Minnesota,Minneapolis,16870.54
South,Virginia,Springfield,16628.53
East,Rhode Island,Providence,15980.65
East,Ohio,Columbus,15900.78
South,Kentucky,Henderson,15661.01
Central,Michigan,Jackson,15420.03
Central,Missouri,Springfield,15051.38
East,New Jersey,Lakewood,14852.04
South,Georgia,Columbus,14845.05
South,Virginia,Arlington,14366.76
South,North Carolina,Charlotte,13693.33
South,North Carolina,Burlington,12681.28
West,Colorado,Denver,12198.78
Central,Wisconsin,Milwaukee,11410.22
West,Arizona,Phoenix,11000.27
East,Maryland,Columbia,10962.35
West,Nevada,North Las Vegas,9801
Central,Indiana,Indianapolis,9306.42
East,New York,Buffalo,9063.5
South,Florida,Miami,8673.08
East,New York,Long Beach,8521.19
East,Ohio,Lancaster,8202.64
East,Ohio,Newark,8128.1
West,California,Anaheim,7986.88
Central,Indiana,Columbus,7960.4
West,California,Fresno,7888.53
East,New York,Yonkers,7657.67
Central,Illinois,Aurora,7572.97
South,Mississippi,Jackson,7426.61
West,California,Sacramento,7311.26
South,Kentucky,Louisville,7275.39
South,Florida,Tallahassee,7250.68
South,Kentucky,Richmond,6761.52
Central,Texas,Huntsville,6710.61
South,Georgia,Roswell,6652.32
Central,Texas,Fort Worth,6602.69
Central,Oklahoma,Oklahoma City,6596.82
East,Delaware,Wilmington,6553.9
East,Ohio,Cleveland,6346.21
West,Arizona,Tucson,6313
Central,Nebraska,Omaha,6312.53
Central,Indiana,Richmond,6235.15
South,South Carolina,Columbia,6168.16
East,Maryland,Baltimore,6156.84
East,Massachusetts,Lawrence,6109.06
West,California,San Jose,6071.22
South,Tennessee,Nashville,6070.9
Central,Texas,Austin,6058.01
East,New York,Rochester,6017.13
South,Virginia,Chesapeake,5996.72
West,California,Oakland,5964.42
South,Tennessee,Memphis,5942.32
Central,Texas,Arlington,5847.77
West,Oregon,Springfield,5761.26
South,Virginia,Virginia Beach,5752.13
East,Massachusetts,Everett,5661.88
East,Ohio,Springfield,5613.18
South,Florida,Lakeland,5606.88
South,North Carolina,Jacksonville,5579.82
Central,Oklahoma,Tulsa,5556.97
East,Massachusetts,Franklin,5534.56
South,Virginia,Alexandria,5519.57
East,Maryland,Clinton,5514.25
South,Alabama,Mobile,5462.99
South,Louisiana,Lafayette,5405.75
Central,Wisconsin,Madison,5346.79
Central,Michigan,Midland,5291.51
South,Florida,Tampa,5196.1
South,Tennessee,Columbia,5162.79
South,Virginia,Richmond,5141.26
South,North Carolina,Concord,5111.84
West,California,Brentwood,5090.12
West,Colorado,Louisville,5070.41
East,New Jersey,Morristown,5033.1
East,Connecticut,Fairfield,4935.58
West,California,Long Beach,4933.83
South,Florida,Fort Lauderdale,4929.52
Central,Texas,Round Rock,4854.05
East,Massachusetts,Lowell,4837.93
Central,Wisconsin,Franklin,4774.25
East,New York,Jamestown,4708.79
West,Montana,Great Falls,4605.58
South,Kentucky,Florence,4559.8
East,New Jersey,Plainfield,4526.85
South,North Carolina,Raleigh,4507.52
East,Ohio,Toledo,4466.08
East,New Hampshire,Dover,4428.95
South,Virginia,Harrisonburg,4388.71
West,California,Santa Barbara,4289.24
Central,Minnesota,Lakeville,4260.95
West,Arizona,Gilbert,4172.38
West,California,Pasadena,4112.69
West,Colorado,Aurora,4083.5
West,Oregon,Portland,4051.86
East,New York,Watertown,4045
