Sum of profit,product_name
25199.94,Canon imageCLASS 2200 Advanced Copier
7753.06,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind
6983.89,Hewlett Packard LaserJet 3310 Copier
4570.94,Canon PC1060 Personal Laser Copier
4425.32,Logitech G19 Programmable Gaming Keyboard
4094.98,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color"
3772.95,Ativa V4110MDD Micro-Cut Shredder
3717.97,"3D Systems Cube Printer, 2nd Generation, Magenta"
3345.29,Ibico EPK-21 Electric Binding System
3343.53,Zebra ZM400 Thermal Label Printer
