category,sub_category,product_name,Sum of profit
Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,25199.94
Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,7753.06
Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,6983.89
Technology,Copiers,Canon PC1060 Personal Laser Copier,4570.94
Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,4425.32
Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",4094.98
Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,3772.95
Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",3717.97
Office Supplies,Binders,Ibico EPK-21 Electric Binding System,3345.29
Technology,Machines,Zebra ZM400 Thermal Label Printer,3343.53
Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,3247.02
Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,3124.94
Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,3085.04
Technology,Copiers,Canon Imageclass D680 Copier / Fax,2799.97
Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,2518.06
Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,2318.34
Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,2243.93
Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,2233.5
Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,2155.9
Technology,Copiers,Canon PC940 Copier,2092.46
Technology,Copiers,Sharp AL-1530CS Digital Copier,2064.96
Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",2016.7
Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,1995.99
Technology,Accessories,Logitech P710e Mobile Speakerphone,1987.95
Technology,Copiers,Canon PC1080F Personal Copier,1973.97
Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,1932.54
