category,sub_category,product_name,Sum of sales
Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,61599.83
Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.38
Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48
Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,21870.57
Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,19823.48
Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,19024.5
Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,18839.68
Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.9
Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,17965.07
Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,17030.31
Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,16829.9
Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,16656.21
Office Supplies,Binders,Ibico EPK-21 Electric Binding System,15875.92
Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89
Technology,Phones,Samsung Galaxy Mega 6.3,13943.67
Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,13756.54
Technology,Phones,Apple iPhone 5,12996.6
Furniture,Tables,Bretford Rectangular Conference Table Tops,12995.28
Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,12975.39
Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,12921.64
Technology,Copiers,Canon PC1060 Personal Laser Copier,11619.83
Furniture,Chairs,SAFCO Arco Folding Chair,11572.78
Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44
Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",11206.07
Technology,Accessories,Logitech P710e Mobile Speakerphone,11203.76
Technology,Machines,Cubify CubeX 3D Printer Double Head Print,11099.96
Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,10925
Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36
Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.53
Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64
Office Supplies,Storage,Tennsco Double-Tier Lockers,9630.86
Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,9544.72
Technology,Machines,Bady BDG101FRU Card Printer,9279.89
Office Supplies,Storage,Tennsco Single-Tier Lockers,9158.29
Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,9070.93
Technology,Copiers,Canon Imageclass D680 Copier / Fax,8959.87
Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,8899.82
Technology,Phones,Wilson Electronics DB Pro Signal Booster,8878.4
Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5
Furniture,Chairs,Global Deluxe High-Back Manager's Chair,8665.21
Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8431
Furniture,Tables,Chromcraft Round Conference Tables,8209.07
Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",8138.24
Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,8111.15
Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,8070.2
Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98
Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,7985.38
Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,7979.43
Technology,Machines,Okidata MB760 Printer,7834.4
Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,7730.19
Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,7699.89
Technology,Phones,Mitel MiVoice 5330e IP Phone,7699.73
Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.38
Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.71
Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,7515.52
Technology,Phones,Samsung Galaxy Note 2,7437.88
Furniture,Tables,Hon 94000 Series Round Tables,7404.49
Technology,Accessories,Logitech diNovo Edge Keyboard,7399.7
Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,7242.78
Technology,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7139.8
Technology,Machines,Zebra ZM400 Thermal Label Printer,6965.7
Furniture,Tables,"Bevis Oval Conference Table, Walnut",6942.07
Furniture,Chairs,Hon GuestStacker Chair,6936.11
Technology,Phones,ClearOne CHATAttach 160 - speaker phone,6935.87
Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,6832.91
Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6819.31
Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,6785.14
Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,6776.57
Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,6748.48
Office Supplies,Storage,Standard Rollaway File with Lock,6594.96
Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,6584.64
Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",6574.54
Furniture,Tables,Balt Solid Wood Round Tables,6518.76
Furniture,Chairs,Hon Pagoda Stacking Chairs,6483.79
Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",6410.87
Technology,Copiers,Sharp AL-1530CS Digital Copier,6399.88
Technology,Phones,Polycom VVX 310 VoIP phone,6227.66
Technology,Phones,Samsung Galaxy S4,6134.7
Technology,Phones,Samsung Galaxy S4 Mini,6109.87
Furniture,Chairs,Global Comet Stacking Arm Chair,6084.14
Furniture,Chairs,Global Ergonomic Managers Chair,6008.54
Technology,Copiers,Canon PC1080F Personal Copier,5999.9
Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.22
Furniture,Tables,Hon 5100 Series Wood Tables,5965.08
Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52
Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.03
Furniture,Chairs,Global Leather Executive Chair,5861.53
Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.82
Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,5787.36
Technology,Copiers,Canon PC940 Copier,5669.88
Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,5634.9
Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,5609.83
Office Supplies,Storage,Deluxe Rollaway Locking File with Drawer,5572.79
Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,5535.57
Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.89
Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",5436.15
Furniture,Chairs,Hon Olson Stacker Chairs,5427.99
Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,5327.26
